00	55	STO
01	101	1
02	55	STO
03	100	0
04	11	-
05	105	3
06	10	+
07	96	SKIP
08	93	GOTO
09	101	1
10	108	8
11	106	4
12	80	=
13	52	M×
14	101	1
15	93	GOTO
16	100	0
17	102	2
18	105	3
19	80	=
20	17	1/x
21	42	ex
22	11	-
23	64	x-y
24	17	1/x
25	13	÷
26	102	2
27	12	×
28	56	RCL
29	100	0
30	10	+
31	81	(
32	56	RCL
33	100	0
34	18	x2
35	18	x2
36	17	1/x
37	13	÷
38	56	RCL
39	100	0
40	18	x2
41	13	÷
42	108	8
43	101	1
44	100	0
45	80	=
46	19	√
47	12	×
48	56	RCL
49	100	0
50	13	÷
51	101	1
52	42	ex
53	14	yx
54	56	RCL
55	100	0
56	12	×
57	81	(
58	102	2
59	12	×
60	65	π
61	12	×
62	56	RCL
63	100	0
64	82	)
65	19	√
66	13	÷
67	56	RCL
68	101	1
69	80	=
